media,source,keyword,year,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20
China,en.people.cn,energy transition,2020,0.006010754880031821,0.017340019729342085,0.008748486005561214,0.0029698833714991253,0.011339944346331269,0.7572109069725981,0.0015195142148770253,7.794956964779025e-4,5.213692430874084e-4,0.0010021762395977872,6.712378440517034e-4,0.05078658823796267,0.0022397208441812875,0.0037777342479475263,0.015293254161743899,4.745241255257111e-4,9.716823867103549e-4,0.02153865394471179,0.011182192707127333,0.08562186080063412
China,en.people.cn,energy transition,2020,0.016371258643987915,0.0020926030015290423,0.011227653295237594,0.003756095415619874,0.4679847541648,0.02614322416665424,0.003675667289315179,0.046304979630184075,0.007167771132058859,0.01408930332132109,0.0029619885186348374,0.023861180428099694,0.05817146764746592,0.052552160894703055,0.04149681896181121,0.004056498343962717,0.0011438437374803397,0.0011298918790976012,0.18496322342373084,0.030849616104305887
China,chinadaily.com.cn,energy transition,2020,0.0026563179650885196,1.5741061471012438e-4,0.03483535675531977,0.5574898842272771,0.12455396363111856,0.005897789791561507,0.0015378905223804138,0.001901421891348764,0.0036568790996276642,8.824403044318856e-4,8.087303806533449e-4,0.06820951908265033,0.004939586572978731,0.0041982220288205975,0.005648630746889917,0.0010181900607938905,8.503079214504712e-4,0.001375675901776858,0.14969212744912033,0.02968965505200105
China,chinadaily.com.cn,energy transition,2020,0.006605158508642965,0.0014348709936322875,0.03899395129199574,0.005591544583805581,0.21024392658341307,0.20114609030787728,0.0017728931119490876,0.002687728980552035,0.0014156828789054167,1.871418654852081e-4,0.0011949757226185605,0.008836039334570112,0.0018461448032774089,0.010982747173582007,0.12104613837360424,0.0015080409948435751,9.30578234069812e-4,0.022967207155637378,0.013977348365709298,0.34663179073582895
China,chinadaily.com.cn,energy transition,2020,0.006605158508642965,0.0014348709936322875,0.03899395129199574,0.005591544583805581,0.21024392658341307,0.20114609030787728,0.0017728931119490876,0.002687728980552035,0.0014156828789054167,1.871418654852081e-4,0.0011949757226185605,0.008836039334570112,0.0018461448032774089,0.010982747173582007,0.12104613837360424,0.0015080409948435751,9.30578234069812e-4,0.022967207155637378,0.013977348365709298,0.34663179073582895
China,chinadaily.com.cn,energy transition,2020,0.006605158508642965,0.0014348709936322875,0.03899395129199574,0.005591544583805581,0.21024392658341307,0.20114609030787728,0.0017728931119490876,0.002687728980552035,0.0014156828789054167,1.871418654852081e-4,0.0011949757226185605,0.008836039334570112,0.0018461448032774089,0.010982747173582007,0.12104613837360424,0.0015080409948435751,9.30578234069812e-4,0.022967207155637378,0.013977348365709298,0.34663179073582895
China,chinadaily.com.cn,energy transition,2020,0.007329722659479668,0.0013936148598547103,0.03658718352221678,0.005578479156761107,0.20591204527333537,0.21674550325386102,0.001604977545351154,0.0026594335644235844,0.0013871867824074304,1.865571375608369e-4,0.0011278702664258723,0.008862631725269573,0.0018422670348434951,0.010820629491978357,0.1253655724502434,0.0015076313221355565,9.439024780329956e-4,0.022502083002864798,0.013694164887029868,0.3339485435859243
China,chinadaily.com.cn,energy transition,2020,0.006605158508642965,0.0014348709936322875,0.03899395129199574,0.005591544583805581,0.21024392658341307,0.20114609030787728,0.0017728931119490876,0.002687728980552035,0.0014156828789054167,1.871418654852081e-4,0.0011949757226185605,0.008836039334570112,0.0018461448032774089,0.010982747173582007,0.12104613837360424,0.0015080409948435751,9.30578234069812e-4,0.022967207155637378,0.013977348365709298,0.34663179073582895
China,chinadaily.com.cn,energy transition,2020,0.007571843490214313,2.742703736590513e-4,0.0027831888386387884,0.0012967645088780434,0.30084656568872353,0.05494361967257024,8.224541842598431e-5,5.376587976864756e-4,5.056737162288638e-4,4.6011390266000415e-5,3.246289798154284e-4,0.0050434873204314445,5.811417400274254e-4,0.0013294990527811224,0.12333253404694874,3.263832000272499e-4,1.8177959311166806e-4,8.358511616784577e-4,0.0016641961636546208,0.49749265684623273
China,chinadaily.com.cn,energy transition,2020,0.007571843490214313,2.742703736590513e-4,0.0027831888386387884,0.0012967645088780434,0.30084656568872353,0.05494361967257024,8.224541842598431e-5,5.376587976864756e-4,5.056737162288638e-4,4.6011390266000415e-5,3.246289798154284e-4,0.0050434873204314445,5.811417400274254e-4,0.0013294990527811224,0.12333253404694874,3.263832000272499e-4,1.8177959311166806e-4,8.358511616784577e-4,0.0016641961636546208,0.49749265684623273
China,chinadaily.com.cn,energy transition,2020,0.010145629306370115,2.926519277711402e-4,0.0027246949289915726,0.0013064717456951617,0.297991207967276,0.05671478756504313,8.377520122902166e-5,5.489912759443423e-4,4.956051407649154e-4,4.812804987211194e-5,3.2843191043330114e-4,0.0052619697230231076,5.809765244637873e-4,0.001371906915014036,0.12887003352614568,3.249826104108865e-4,1.9020224814146933e-4,8.531099828012139e-4,0.00159403319567278,0.4902724102549361
China,chinadaily.com.cn,energy transition,2020,0.007571843490214313,2.742703736590513e-4,0.0027831888386387884,0.0012967645088780434,0.30084656568872353,0.05494361967257024,8.224541842598431e-5,5.376587976864756e-4,5.056737162288638e-4,4.6011390266000415e-5,3.246289798154284e-4,0.0050434873204314445,5.811417400274254e-4,0.0013294990527811224,0.12333253404694874,3.263832000272499e-4,1.8177959311166806e-4,8.358511616784577e-4,0.0016641961636546208,0.49749265684623273
